,relKeyword,monthlyPcQcCnt,monthlyMobileQcCnt,item_count,total_search_count
0,라퍼지스토어,5020,25800,941,30820
1,더니트컴퍼니,5360,20400,1770,25760
2,인사일런스,10800,34100,1025,44900
3,쿠어,12400,36600,5904,49000
4,드로우핏,4320,11000,422,15320
5,도프제이슨,3810,16100,226,19910
6,마마가리,3380,12200,25,15580
7,라퍼지,250,780,1145,1030
8,LAFUDGESTORE,110,810,936,920
9,페이탈리즘,1840,5440,514,7280
10,그루브라임,1140,5890,859,7030
11,토니웩블레이저,440,2170,30,2610
12,브랜디드,5590,13200,139825,18790
13,라퍼지스토어라이더,10,310,9,320
14,라지퍼스토어,30,190,942,220
15,라퍼지스토어매장,160,1360,0,1520
16,라퍼지스토어니트,10,140,94,150
17,라퍼지스토어오프라인,130,850,0,980
18,라퍼지스토어자켓,20,120,286,140
19,라퍼지스토어가죽자켓,50,620,116,670
20,라퍼지스토어레더자켓,20,170,116,190
21,피쉬테일파카,270,1710,2759,1980
22,라퍼지스토어코트,60,620,78,680
23,라퍼지스토어롱패딩,0,20,29,20
24,라퍼지스토어패딩,90,870,191,960
25,라비디아,0,10,306,10
26,수데이,0,20,351,20
27,간쓰리,90,700,892,790
28,치프시크,60,60,263,120
29,루다105,20,90,185,110
30,비브레이커스,90,670,1064,760
31,비바스튜디오체스터필드코트,10,40,126,50
32,비바스튜디오오프라인,0,100,0,100
33,비바스튜디오스,0,0,1,0
34,비바스튜디오브랜드,0,20,2,20
35,비바스튜디오더플코트,20,290,9,310
36,비바스튜,10,0,3,10
37,비바데일리,0,20,5854,20
38,미드시즌오프,0,0,145,0
39,맨즈라벨,360,920,918,1280
40,대구비바스튜디오,0,20,0,20
41,SUBPOP,0,10,9,10
42,LMC후드집업,10,320,17,330
43,LMC트랙팬츠,0,30,19,30
44,20대패션브랜드,10,40,7392874,50
45,DJ2,80,90,4871,170
46,커버낫케이스,20,350,457,370
47,오아이오아이후드집업,20,530,210,550
48,스트릿캐주얼브랜드,10,0,12555,10
49,맨즈데일리,50,90,23131,140
0,M-1965,20,110,193,130
0,피쉬테일,960,4960,56997,5920
1,미군고어텍스,130,1200,3100,1330
2,빈티지리바이스,150,670,25944,820
3,수입밀리터리,70,410,3577,480
4,리바이스빈티지,230,1540,1560,1770
5,항공점퍼,5010,40000,467932,45010
6,오리지널개파카,90,500,1903,590
7,미군고어텍스자켓,80,780,1567,860
8,미군백팩,30,200,7676,230
9,리바이스구제,70,540,10424,610
10,아메리칸캐주얼,250,810,34981,1060
11,야상점퍼,820,9750,707372,10570
12,미군항공점퍼,150,1520,10995,1670
13,리바이스LVC,500,2300,1115,2800
14,남자겨울야상,100,790,79557,890
15,남자항공점퍼,1150,12800,328200,13950
16,밀리터리파우치,70,350,62176,420
17,군야상,20,140,949,160
18,N3B,200,680,3899,880
19,남자야상점퍼,240,1730,258476,1970
20,아메리칸빈티지,90,460,30662,550
21,남자개파카,230,1940,19075,2170
22,밀리터리,2400,10900,2087884,13300
23,피쉬테일파카,270,1710,2759,1980
24,군복구입,10,40,57447,50
25,LVC,1010,3520,6239,4530
26,미군티셔츠,30,180,4316,210
27,구제리바이스,20,100,10423,120
28,MA-1,2340,12700,219095,15040
29,미군가방,50,390,14700,440
30,겨울야상,150,1350,187642,1500
31,개파카,1000,4840,21055,5840
32,더빌딩,80,150,2307,230
33,남자벨트자켓,90,700,13957,790
34,남자아메카지,260,1540,230403,1800
35,남성야상점퍼,40,210,258489,250
36,아메카지빈티지,0,20,55499,20
37,동묘빈티지,50,630,143,680
38,남자경량패딩브랜드,30,310,9211,340
39,군인정복,100,690,843,790
40,밀리터리야상자켓,0,10,23164,10
41,서바이벌백팩,0,10,17474,10
42,스웨덴야상,0,90,142,90
43,미군용,10,20,2035,30
44,바넷샵,0,20,84,20
45,군용파우치,20,250,12228,270
46,개파카오리지날,0,0,1903,0
47,밀리터리백,50,210,318345,260
48,미군개파카,10,130,2238,140
49,스웨덴군복,0,30,21,30
0,야상,2230,15400,1086516,17630
1,밀리터리,2400,10900,2087884,13300
2,남자야상,1270,9300,395796,10570
3,청바지,5430,66200,11809231,71630
4,여성야상점퍼,280,4540,425826,4820
5,가디건,8370,77300,7869468,85670
6,여성야상,440,6060,624017,6500
7,후드집업,6780,69400,1872008,76180
8,남자자켓,3590,23600,8395216,27190
9,여성조끼,1290,23500,4513304,24790
10,군복,1410,7730,57451,9140
11,우비,1740,7730,1126122,9470
12,후드티,12900,113300,7296787,126200
13,밀리터리사이트,310,1550,2165,1860
14,청자켓,2270,16700,1323638,18970
15,남자바람막이,1350,8430,1135620,9780
16,경량패딩,7980,75800,1121962,83780
17,밀리터리샵,610,1750,27206,2360
18,여성야상자켓,120,1200,243840,1320
19,여자야상,210,2370,624022,2580
20,자켓,4320,29300,21736666,33620
21,여성바람막이,580,6470,714226,7050
22,트렌치코트,5800,51400,1636354,57200
23,야상점퍼,820,9750,707372,10570
24,군장점,860,8270,3325,9130
25,아웃도어브랜드,1870,6940,15186,8810
26,밀리터리룩,620,4020,73340,4640
27,밀리터리용품,160,640,238483,800
28,니트조끼,3000,40600,1585250,43600
29,남자롱야상,90,860,56148,950
30,여성롱야상,50,1020,124081,1070
31,여자바람막이,440,3590,714236,4030
32,군용품,480,3090,17690,3570
33,라이더자켓,1880,13000,428200,14880
34,블레이저,5330,31200,855076,36530
35,남성봄자켓,490,3030,653221,3520
36,경량바람막이,190,1050,124998,1240
37,베스트조끼,510,10100,10709480,10610
38,다운자켓,430,2160,1135004,2590
39,남자트렌치코트,2070,11400,345238,13470
40,레인코트,800,4020,1126139,4820
41,여성바람막이자켓,70,480,782210,550
42,야상패딩,720,9540,339452,10260
43,여성가디건,3470,60000,6203177,63470
44,플리스자켓,2500,21000,955520,23500
45,남자야상브랜드,30,180,2539,210
46,남자야상자켓,320,2380,188754,2700
47,여자조끼,210,3090,4513134,3300
48,골프우비,230,1570,70290,1800
49,남자겨울코디,1180,7710,291281,8890
